Episode,Reward
0,-389.42600445737105
1,-146.03695563507813
2,-66.74597208412916
3,-106.84985000497193
4,-179.1961577207844
5,-202.874343601173
6,-177.0430224871327
7,-155.67026493960185
8,-129.3023270588422
9,-158.12032247226347
10,-121.98281307351269
11,-166.94010726454826
12,-88.173000844734
13,-93.45869943171778
14,-134.35470995795993
15,-144.93562803133784
16,-134.7007154479719
17,-131.15770289994623
18,-364.4648463788193
19,-210.0586584731924
20,-212.42016027194347
21,-113.43059930402703
22,-235.50965896954148
23,-107.37489936332294
24,-316.8910302529784
25,-136.73635593881056
26,-269.8301446251479
27,-73.98738577456558
28,-271.9813579405448
29,-146.43956755832303
30,-135.35465475673573
31,-334.1654088251422
32,-141.34803084152298
33,-173.4006439215607
34,3.5528059480920575
35,-174.80155231011503
36,-338.33329826771603
37,-179.458326171845
38,-147.03339291939074
39,-324.40980887256546
40,-125.61788204523319
41,-133.47018010464149
42,-114.38656080098202
43,-203.3996415303612
44,-123.63673412994633
45,-208.59756550664684
46,-123.74384211573935
47,-78.36037947522058
48,-379.6599728488912
49,-129.28113792114334
50,-112.64468934201449
51,13.08613754671488
52,-151.11784527816965
53,-83.84810491005862
54,-125.42522628465107
55,-174.57566708367722
56,-135.70166047302249
57,-96.92002989099494
58,-220.5029051622331
59,-169.21927512499843
60,-70.2751134617369
61,-477.4779246753215
62,-221.3061080445147
63,-176.8851848386989
64,-91.14899337294122
65,-190.08120975719675
66,-102.99585435382176
67,-111.77243303790391
68,-196.97450264814714
69,-37.77405825070889
70,-205.17423716659675
71,-134.05967369876234
72,-371.0473374574304
73,-231.19323860852631
74,-111.46743751471291
75,-183.32175875553787
76,-82.1511701191103
77,-161.7678982951259
78,-199.23876172913657
79,-193.87905502501275
80,-338.3414901235238
81,-131.53774912759164
82,-291.2385069458779
83,-109.49136719492594
84,-357.54501095974706
85,-311.4786717963806
86,-217.6947896350576
87,-96.6727702794331
88,-373.0528614212028
89,-297.88440594189944
90,-115.26379286799775
91,-217.72651217077802
92,-104.32709994826014
93,-70.53588980041356
94,-192.3272334493766
95,-182.31650307060056
96,-92.69623301558016
97,-77.1704989709217
98,-178.90707025795717
99,-311.43748943165804
100,-291.8503261279544
101,-116.62948367523907
102,-141.900876498731
103,-109.38304212961084
104,-275.94462619986734
105,-153.71802471543327
106,-101.25723542699436
107,-47.98224473374535
108,-68.8637613131845
109,-425.91199509319335
110,-122.35749440395253
111,-318.5099971304161
112,-109.96174659599019
113,-79.21553943149327
114,-367.60207978594883
115,-202.32665784940795
116,-146.10183186744334
117,-264.2701710772145
118,-270.1783389522204
119,-144.22665596847395
120,-167.35451992415602
121,-184.2614549592622
122,-121.57941116170618
123,-266.0522877108107
124,-111.71076771501454
125,-121.18952964344531
126,-86.67614540621808
127,-247.58183339798288
128,-126.28328328842339
129,-212.7445191537625
130,-94.4589532190399
131,-66.95061469223354
132,-49.62560851831053
133,-72.38457140639167
134,-141.1251161754524
135,-284.9509221971937
136,-144.30038824688407
137,-182.9470510159736
138,-139.31034324305256
139,-283.6854728000675
140,-146.46322046027447
141,-129.26025592447547
142,-106.87401681457828
143,-331.9116226853231
144,-73.70181857979884
145,-339.78341906496405
146,-89.17830103090165
147,-103.3098057741909
148,-180.03745426939636
149,-322.4207071771358
150,-84.83628713481521
151,-217.92380788001253
152,-128.41692390094033
153,-82.49240542033505
154,-318.2058301420814
155,-172.5257193721058
156,-88.08678619116058
157,-151.69946501197256
158,-123.91570560187886
159,-38.13007062666109
160,-71.9061967541952
161,-276.1251919215824
162,-258.68334547332165
163,-75.87490216421759
164,-92.91507058778696
165,-95.58336424167192
166,-167.00343029440677
167,-241.33719898918133
168,-57.881653333977354
169,-96.3365103383946
170,-150.41499722501874
171,-104.2716240748736
172,-158.52187669384955
173,-107.36484402281943
174,-92.6857415331606
175,-173.4722823216639
176,18.26356291537698
177,-45.54977356480037
178,-236.73157462587767
179,-57.79065568266836
180,-169.90629720292088
181,-82.77006352392293
182,-164.80757058979972
183,-119.80716162885854
184,-221.13491807589992
185,-188.82059577611324
186,-56.348015345140126
187,-317.3572547746249
188,-90.88527623293191
189,-244.923134070117
190,-258.0212250568359
191,-142.75830621955163
192,-48.32518313823681
193,-195.67948903020857
194,-181.90002626686706
195,-338.03356416872975
196,-169.77909035931293
197,-39.655466328963726
198,-54.36609943962144
199,-127.96794874384392
200,-155.48937345022782
201,-132.95200911397086
202,-245.2321562478747
203,-52.560736137630286
204,-227.19810874510492
205,-144.00506070042428
206,-383.24276068715926
207,-156.33673332255256
208,-135.66743515943773
209,-239.0516526736702
210,-246.07964408835932
211,-143.7983881039414
212,-94.54115317682317
213,-270.30398821508766
214,-107.88020558212433
215,-73.49339339027279
216,-316.4416395110974
217,-114.74574727256321
218,-295.58190908803954
219,-202.94866720382964
220,-155.45053063901463
221,-69.09714545254451
222,-81.42373784406333
223,-246.48560649335286
224,-69.31567557179086
225,-140.8839846743712
226,-112.03457178386535
227,-86.42597446393914
228,-36.109461233789276
229,-339.32735062344227
230,-139.10251239275098
231,-408.0905503700209
232,-182.3007157831868
233,-186.72193773899573
234,-58.24078165368811
235,-158.3034900709764
236,-172.26582526768192
237,-89.14129724483796
238,-28.93147125124149
239,-105.40142877824927
240,-98.7899188341689
241,-84.15511684889887
242,-116.35156733943738
243,-140.67238265405123
244,-139.3768784957889
245,-53.95328080860218
246,-26.586539200098144
247,-162.21557068957395
248,-86.19882733385815
249,-221.8563497423402
250,-98.25805545306744
251,-177.76806374739505
252,-105.90922142949842
253,-221.23643906296797
254,-94.16443806060384
255,-172.98006326043378
256,-232.9967938696161
257,-194.9832568829322
258,-78.69888919267073
259,-91.75157083129609
260,-104.29302375052362
261,-244.9693767268764
262,-376.00415130214986
263,-100.20652574309035
264,-95.30328315306767
265,-261.94289652475004
266,-148.57934486022958
267,-88.20435609815551
268,-251.09151812099105
269,-84.66754663613183
270,-228.04875880789862
271,-381.49276613847957
272,-60.322762815278665
273,-25.888621580364557
274,-10.383992099324843
275,-75.3940704901701
276,-150.72468647740305
277,-25.551793078817525
278,-133.07951256521056
279,-223.697704280489
280,-188.03628508605104
281,-197.3646674088285
282,-326.9266885961726
283,-157.88660661972884
284,-268.38764110001296
285,-114.55493708434356
286,-216.18758251595582
287,-75.78081047258641
288,-266.22250607420665
289,-280.23449277466773
290,-123.8982702515476
291,-131.1921369336245
292,-58.92615479103397
293,-36.74947996594321
294,-130.77504995684774
295,-89.03900657993292
296,-145.5373582767666
297,-82.82459635852508
298,-151.9019472862165
299,-174.68141556117092
